연도,시도,회사,구분,길이
2003,강원,참빛원주,공급관,83786.0
2003,강원,참빛원주,본관,85708.0
2003,경기,극동,공급관,169330.0
2003,경기,극동,본관,137110.0
2003,경기,대한,공급관,735019.0
2003,경기,대한,본관,359093.0
2003,경기,삼천리,공급관,1940910.0
2003,경기,삼천리,본관,1029323.0
2003,경기,서울,공급관,309615.0
2003,경기,서울,본관,216631.0
2003,경기,한진,공급관,194054.0
2003,경기,한진,본관,131080.0
2003,경남,경남,공급관,517445.0
2003,경남,경남,본관,373407.0
2003,경남,신아,공급관,32712.0
2003,경남,신아,본관,68995.0
2003,경북,경북,공급관,34490.0
2003,경북,경북,본관,34335.0
2003,경북,구미,공급관,220057.0
2003,경북,구미,본관,137859.0
2003,경북,서라벌,공급관,45551.0
2003,경북,서라벌,본관,70342.0
2003,경북,포항,공급관,168536.0
2003,경북,포항,본관,123768.0
2003,광주,해양,공급관,437164.0
2003,광주,해양,본관,242532.0
2003,대구,대구,공급관,839346.0
2003,대구,대구,본관,547856.0
2003,대전,충남,공급관,425492.0
2003,대전,충남,본관,280625.0
2003,부산,부산,공급관,763465.0
2003,부산,부산,본관,569915.0
2003,서울,강남,공급관,425397.0
2003,서울,강남,본관,124011.0
2003,서울,극동,공급관,1445415.0
2003,서울,극동,본관,301620.0
2003,서울,대한,공급관,890696.0
2003,서울,대한,본관,384220.0
2003,서울,서울,공급관,2126262.0
2003,서울,서울,본관,393914.0
2003,서울,한진,공급관,593242.0
2003,서울,한진,본관,139577.0
2003,울산,경동,공급관,558515.0
2003,울산,경동,본관,390135.0
2003,인천,삼천리,공급관,402808.0
2003,인천,삼천리,본관,207041.0
2003,인천,인천,공급관,613429.0
2003,인천,인천,본관,251116.0
2003,전남,대화,공급관,19588.0
2003,전남,대화,본관,77735.0
2003,전남,목포,공급관,67020.0
2003,전남,목포,본관,60237.0
2003,전남,전남,공급관,53908.0
2003,전남,전남,본관,92538.0
2003,전북,군산,공급관,21068.0
2003,전북,군산,본관,67671.0
2003,전북,익산,공급관,47178.0
2003,전북,익산,본관,43758.0
2003,전북,전북,공급관,215492.0
2003,전북,전북,본관,144600.0
2003,충남,서해,공급관,6727.0
2003,충남,서해,본관,57747.0
2003,충남,중부,공급관,173325.0
2003,충남,중부,본관,304585.0
2003,충북,참빛충북,공급관,13227.0
2003,충북,참빛충북,본관,22026.0
2003,충북,청주,공급관,313624.0
2003,충북,청주,본관,139830.0
2004,강원,강원,공급관,144026.0
2004,강원,강원,본관,63984.0
2004,강원,참빛,공급관,6621.0
2004,강원,참빛,본관,26516.0
2004,강원,참빛영동,공급관,8306.0
2004,강원,참빛영동,본관,34993.0
2004,강원,참빛원주,공급관,98705.0
2004,강원,참빛원주,본관,94003.0
2004,경기,극동,공급관,183771.0
2004,경기,극동,본관,149275.0
2004,경기,대한,공급관,768519.0
2004,경기,대한,본관,381253.0
2004,경기,삼천리,공급관,2093203.0
2004,경기,삼천리,본관,1093529.0
2004,경기,서울,공급관,331513.0
2004,경기,서울,본관,226263.0
2004,경기,인천,공급관,0.0
2004,경기,인천,본관,20685.0
2004,경기,한진,공급관,214472.0
2004,경기,한진,본관,136725.0
2004,경남,경남,공급관,583101.0
2004,경남,경남,본관,393819.0
2004,경남,경동,공급관,82503.0
2004,경남,경동,본관,89028.0
2004,경남,신아,공급관,37673.0
2004,경남,신아,본관,75937.0
2004,경북,경북,공급관,40008.0
2004,경북,경북,본관,41633.0
2004,경북,구미,공급관,251610.0
2004,경북,구미,본관,154113.0
2004,경북,대구,공급관,89450.0
2004,경북,대구,본관,83122.0
2004,경북,서라벌,공급관,57637.0
2004,경북,서라벌,본관,72271.0
2004,경북,포항,공급관,199362.0
2004,경북,포항,본관,126814.0
2004,광주,해양,공급관,490776.0
2004,광주,해양,본관,239964.0
2004,대구,대구,공급관,945586.0
2004,대구,대구,본관,486795.0
2004,대전,충남,공급관,467071.0
2004,대전,충남,본관,289565.0
2004,부산,부산,공급관,839635.0
2004,부산,부산,본관,557940.0
2004,서울,강남,공급관,425322.0
2004,서울,강남,본관,125847.0
2004,서울,극동,공급관,1473955.0
2004,서울,극동,본관,310760.0
2004,서울,대한,공급관,917814.0
2004,서울,대한,본관,390620.0
2004,서울,서울,공급관,2161434.0
2004,서울,서울,본관,399755.0
2004,서울,한진,공급관,602884.0
2004,서울,한진,본관,141878.0
2004,울산,경동,공급관,573125.0
2004,울산,경동,본관,313931.0
2004,인천,삼천리,공급관,425248.0
2004,인천,삼천리,본관,219019.0
2004,인천,인천,공급관,652431.0
2004,인천,인천,본관,257885.0
2004,전남,대화,공급관,20233.0
2004,전남,대화,본관,79706.0
2004,전남,목포,공급관,71771.0
2004,전남,목포,본관,59734.0
2004,전남,전남,공급관,66244.0
2004,전남,전남,본관,98175.0
2004,전남,해양,공급관,13798.0
2004,전남,해양,본관,8130.0
2004,전북,군산,공급관,25039.0
2004,전북,군산,본관,70927.0
2004,전북,익산,공급관,58252.0
2004,전북,익산,본관,53734.0
2004,전북,전북,공급관,264068.0
2004,전북,전북,본관,154549.0
2004,충남,서해,공급관,17477.0
2004,충남,서해,본관,68764.0
2004,충남,중부,공급관,191024.0
2004,충남,중부,본관,334089.0
2004,충남,충남,공급관,6587.0
2004,충남,충남,본관,7374.0
2004,충북,참빛충북,공급관,16230.0
2004,충북,참빛충북,본관,29114.0
2004,충북,청주,공급관,336400.0
2004,충북,청주,본관,150302.0
2005,강원,강원,공급관,155356.0
2005,강원,강원,본관,67722.0
2005,강원,참빛,공급관,7453.0
2005,강원,참빛,본관,27113.0
2005,강원,참빛영동,공급관,9483.0
2005,강원,참빛영동,본관,42939.0
2005,강원,참빛원주,공급관,112965.0
2005,강원,참빛원주,본관,94605.0
2005,경기,대한,공급관,795185.0
2005,경기,대한,본관,394959.0
2005,경기,삼천리,공급관,2184268.0
2005,경기,삼천리,본관,1148469.0
2005,경기,서울,공급관,341936.0
2005,경기,서울,본관,244383.0
2005,경기,예스코,공급관,199926.0
2005,경기,예스코,본관,154579.0
2005,경기,인천,공급관,0.0
2005,경기,인천,본관,27994.0
2005,경기,한진,공급관,233091.0
2005,경기,한진,본관,142153.0
2005,경남,경남,공급관,629121.0
2005,경남,경남,본관,418907.0
2005,경남,경동,공급관,89762.0
2005,경남,경동,본관,92483.0
2005,경남,지에스이,공급관,42249.0
2005,경남,지에스이,본관,79065.0
2005,경북,경북,공급관,45090.0
2005,경북,경북,본관,43846.0
2005,경북,구미,공급관,283232.0
2005,경북,구미,본관,169319.0
2005,경북,대구,공급관,95128.0
2005,경북,대구,본관,86472.0
2005,경북,서라벌,공급관,68973.0
2005,경북,서라벌,본관,74270.0
2005,경북,포항,공급관,218684.0
2005,경북,포항,본관,136872.0
2005,광주,해양,공급관,550845.0
2005,광주,해양,본관,247630.0
2005,대구,대구,공급관,988936.0
2005,대구,대구,본관,499215.0
2005,대전,충남,공급관,519855.0
2005,대전,충남,본관,303019.0
2005,부산,부산,공급관,913097.0
2005,부산,부산,본관,589671.0
2005,서울,강남,공급관,425515.0
2005,서울,강남,본관,126908.0
2005,서울,대한,공급관,920330.0
2005,서울,대한,본관,396134.0
2005,서울,서울,공급관,2182046.0
2005,서울,서울,본관,404143.0
2005,서울,예스코,공급관,1501957.0
2005,서울,예스코,본관,315526.0
2005,서울,한진,공급관,610058.0
2005,서울,한진,본관,143201.0
2005,울산,경동,공급관,656157.0
2005,울산,경동,본관,319582.0
2005,인천,삼천리,공급관,445743.0
2005,인천,삼천리,본관,219975.0
